Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000821164, 0.000329475, 0.000491289, 5.8717e-05, 2518, 4348, 3321
0.000811591, 0.000343844, 0.000467227, 4.0062e-05, 2536, 4257, 1968
0.000890125, 0.000352935, 0.000536699, 6.7761e-05, 2675, 4536, 3813
0.00103934, 0.000413135, 0.000625395, 5.5154e-05, 2737, 4702, 2337
0.00230209, 0.000908689, 0.00139148, 0.000142709, 2715, 4741, 3444
0.000829095, 0.000342702, 0.000486031, 5.6986e-05, 2653, 4373, 3075
0.000833179, 0.000324752, 0.000507886, 7.3009e-05, 2637, 4402, 4305
0.000712338, 0.00030779, 0.000404188, 5.4884e-05, 2495, 3864, 3198
0.000848129, 0.000338671, 0.000508657, 6.1531e-05, 2454, 3899, 3567
0.00100763, 0.000404829, 0.000602081, 8.5243e-05, 2385, 3870, 3936
0.000807836, 0.000316241, 0.000491134, 6.8412e-05, 2464, 4164, 4059
0.000802558, 0.000351057, 0.000451071, 6.1063e-05, 2371, 3947, 3567
0.00101935, 0.000383361, 0.000634895, 6.1393e-05, 2371, 4272, 3198
0.000825238, 0.000365857, 0.000458561, 5.9047e-05, 2406, 4102, 3321
0.000881223, 0.000385012, 0.000495609, 5.4654e-05, 2469, 4379, 2829
0.000761494, 0.000322309, 0.000438604, 7.7972e-05, 2556, 4370, 4797
0.000788508, 0.000363297, 0.000424469, 4.8635e-05, 2524, 4196, 2583
0.000658674, 0.000294204, 0.000363958, 4.0954e-05, 2430, 3910, 2214
0.000695112, 0.000296798, 0.000397864, 5.4723e-05, 2370, 3911, 2829
0.000706347, 0.000321021, 0.000384606, 6.1693e-05, 2453, 4018, 3813
0.000719926, 0.000316345, 0.000403231, 5.6746e-05, 2467, 4000, 3567
0.000673703, 0.000311738, 0.000361555, 5.3913e-05, 2370, 3946, 3321
0.000672853, 0.000334108, 0.000338323, 4.0695e-05, 2332, 3927, 2214
0.000631927, 0.000305489, 0.000325597, 4.3819e-05, 2440, 4062, 2460
0.000704094, 0.000338724, 0.000364749, 4.1797e-05, 2427, 4154, 2337
0.000713747, 0.000331604, 0.000381651, 5.8805e-05, 2521, 4093, 2952
0.00138457, 0.000687417, 0.000696159, 8.366e-05, 2649, 4313, 2706
0.000711711, 0.000342462, 0.000368628, 5.857e-05, 2571, 3951, 2952
0.000793611, 0.000446002, 0.000346187, 4.9409e-05, 2661, 3891, 2829
0.000688379, 0.000367976, 0.000319472, 3.9292e-05, 2691, 4029, 1968
0.000693616, 0.000340449, 0.000352516, 4.2398e-05, 2581, 3674, 2091
0.000657458, 0.000327802, 0.000328924, 4.4012e-05, 2577, 3715, 2583
0.000591849, 0.000306204, 0.000285205, 4.4932e-05, 2531, 3399, 2583
0.00115531, 0.000493086, 0.000660802, 8.2823e-05, 2521, 3414, 1599
0.000633625, 0.000305162, 0.000327722, 3.4164e-05, 2441, 3275, 1353
0.000827827, 0.000424893, 0.000402193, 5.8979e-05, 2499, 3354, 1722
0.000549917, 0.000292857, 0.000256539, 4.0333e-05, 2496, 3306, 1845
0.000772658, 0.000313195, 0.000458582, 5.6084e-05, 2450, 3167, 1476
0.00075164, 0.000341904, 0.000408675, 4.5862e-05, 2550, 3146, 1599
0.000537439, 0.0002868, 0.000250079, 2.794e-05, 2573, 3200, 1353
0.000489445, 0.000278227, 0.000210696, 1.7863e-05, 2563, 2995, 738
0.000689195, 0.000359518, 0.000328226, 2.9808e-05, 2413, 2863, 861
0.000462388, 0.000273852, 0.000187835, 1.2677e-05, 2585, 2872, 492
0.000423815, 0.000244652, 0.000178432, 2.3312e-05, 2437, 2490, 1107
0.00039776, 0.000231164, 0.000165815, 2.9932e-05, 2523, 2440, 1353
0.000379916, 0.000235199, 0.000144246, 2.4793e-05, 2236, 1943, 1353
0.000462861, 0.000258623, 0.000203517, 2.207e-05, 2752, 2406, 1230
0.000471823, 0.000230705, 0.000240528, 2.5856e-05, 2496, 2401, 861
0.000415457, 0.000228472, 0.000186174, 2.7059e-05, 2533, 2343, 1230
